timestamp,user_id,event_id,action,service,resource,source_ip,status
2024-01-15T08:02:11Z,U001,evt-0001,ListBuckets,s3,arn:aws:s3:::logs-bucket,192.168.1.10,success
2024-01-15T08:05:33Z,U001,evt-0002,GetObject,s3,arn:aws:s3:::logs-bucket/app.log,192.168.1.10,success
2024-01-15T08:11:45Z,U001,evt-0003,DescribeInstances,ec2,arn:aws:ec2:us-east-1:123:instance/i-001,192.168.1.10,success
2024-01-15T08:22:07Z,U001,evt-0004,PutObject,s3,arn:aws:s3:::logs-bucket/report.csv,192.168.1.10,success
2024-01-15T08:45:02Z,U001,evt-0005,GetMetricStatistics,cloudwatch,arn:aws:cloudwatch:us-east-1:123:alarm/cpu-alarm,192.168.1.10,success
2024-01-15T09:03:19Z,U001,evt-0006,ListObjects,s3,arn:aws:s3:::logs-bucket,192.168.1.10,success
2024-01-15T09:17:55Z,U001,evt-0007,DescribeSecurityGroups,ec2,arn:aws:ec2:us-east-1:123:security-group/sg-001,192.168.1.10,success
2024-01-15T09:31:41Z,U001,evt-0008,GetObject,s3,arn:aws:s3:::logs-bucket/config.json,192.168.1.10,success
2024-01-15T10:02:04Z,U002,evt-0009,ListBuckets,s3,arn:aws:s3:::data-bucket,10.0.0.5,success
2024-01-15T10:08:12Z,U002,evt-0010,GetObject,s3,arn:aws:s3:::data-bucket/dataset.csv,10.0.0.5,success
2024-01-15T10:14:39Z,U002,evt-0011,PutObject,s3,arn:aws:s3:::data-bucket/output.csv,10.0.0.5,success
2024-01-15T10:25:57Z,U002,evt-0012,InvokeFunction,lambda,arn:aws:lambda:us-east-1:123:function/data-proc,10.0.0.5,success
2024-01-15T10:38:02Z,U002,evt-0013,GetObject,s3,arn:aws:s3:::data-bucket/schema.json,10.0.0.5,success
2024-01-15T10:52:44Z,U002,evt-0014,InvokeFunction,lambda,arn:aws:lambda:us-east-1:123:function/data-proc,10.0.0.5,success
2024-01-15T11:04:11Z,U002,evt-0015,ListFunctions,lambda,arn:aws:lambda:us-east-1:123,10.0.0.5,success
2024-01-15T11:22:38Z,U002,evt-0016,PutObject,s3,arn:aws:s3:::data-bucket/results.json,10.0.0.5,success
2024-01-15T08:15:02Z,U003,evt-0017,CreateChangeSet,cloudformation,arn:aws:cloudformation:us-east-1:123:stack/app-stack,172.16.0.3,success
2024-01-15T08:28:11Z,U003,evt-0018,ExecuteChangeSet,cloudformation,arn:aws:cloudformation:us-east-1:123:stack/app-stack,172.16.0.3,success
2024-01-15T08:41:59Z,U003,evt-0019,DescribeStacks,cloudformation,arn:aws:cloudformation:us-east-1:123:stack/app-stack,172.16.0.3,success
2024-01-15T08:54:27Z,U003,evt-0020,UpdateStack,cloudformation,arn:aws:cloudformation:us-east-1:123:stack/app-stack,172.16.0.3,success
2024-01-15T09:10:33Z,U003,evt-0021,DescribeInstances,ec2,arn:aws:ec2:us-east-1:123:instance/i-003,172.16.0.3,success
2024-01-15T09:27:14Z,U003,evt-0022,CreateStack,cloudformation,arn:aws:cloudformation:us-east-1:123:stack/worker-stack,172.16.0.3,success
2024-01-15T09:44:02Z,U003,evt-0023,DescribeStackEvents,cloudformation,arn:aws:cloudformation:us-east-1:123:stack/worker-stack,172.16.0.3,success
2024-01-15T10:01:17Z,U003,evt-0024,PutObject,s3,arn:aws:s3:::deploy-bucket/template.yml,172.16.0.3,success
2024-01-15T09:00:05Z,U004,evt-0025,GetItem,dynamodb,arn:aws:dynamodb:us-east-1:123:table/users,10.0.1.20,success
2024-01-15T09:07:31Z,U004,evt-0026,PutItem,dynamodb,arn:aws:dynamodb:us-east-1:123:table/users,10.0.1.20,success
2024-01-15T09:14:49Z,U004,evt-0027,Query,dynamodb,arn:aws:dynamodb:us-east-1:123:table/orders,10.0.1.20,success
2024-01-15T09:22:05Z,U004,evt-0028,Scan,dynamodb,arn:aws:dynamodb:us-east-1:123:table/products,10.0.1.20,success
2024-01-15T09:31:23Z,U004,evt-0029,UpdateItem,dynamodb,arn:aws:dynamodb:us-east-1:123:table/orders,10.0.1.20,success
2024-01-15T09:42:57Z,U004,evt-0030,GetItem,dynamodb,arn:aws:dynamodb:us-east-1:123:table/products,10.0.1.20,success
2024-01-15T09:55:14Z,U004,evt-0031,PutItem,dynamodb,arn:aws:dynamodb:us-east-1:123:table/sessions,10.0.1.20,success
2024-01-15T10:11:38Z,U004,evt-0032,Query,dynamodb,arn:aws:dynamodb:us-east-1:123:table/users,10.0.1.20,success
2024-01-15T11:00:03Z,U005,evt-0033,Publish,sns,arn:aws:sns:us-east-1:123:alert-topic,10.0.2.15,success
2024-01-15T11:08:27Z,U005,evt-0034,SendMessage,sqs,arn:aws:sqs:us-east-1:123:job-queue,10.0.2.15,success
2024-01-15T11:16:51Z,U005,evt-0035,ReceiveMessage,sqs,arn:aws:sqs:us-east-1:123:job-queue,10.0.2.15,success
2024-01-15T11:25:13Z,U005,evt-0036,Publish,sns,arn:aws:sns:us-east-1:123:notify-topic,10.0.2.15,success
2024-01-15T11:34:39Z,U005,evt-0037,DeleteMessage,sqs,arn:aws:sqs:us-east-1:123:job-queue,10.0.2.15,success
2024-01-15T11:44:02Z,U005,evt-0038,GetQueueAttributes,sqs,arn:aws:sqs:us-east-1:123:job-queue,10.0.2.15,success
2024-01-15T11:55:18Z,U005,evt-0039,ListTopics,sns,arn:aws:sns:us-east-1:123,10.0.2.15,success
2024-01-15T02:11:04Z,U006,evt-0040,GetSecretValue,secretsmanager,arn:aws:secretsmanager:us-east-1:123:secret/db-password,203.0.113.42,success
2024-01-15T02:18:33Z,U006,evt-0041,CreateAccessKey,iam,arn:aws:iam::123:user/deploy-bot,203.0.113.42,success
2024-01-15T02:25:17Z,U006,evt-0042,AttachUserPolicy,iam,arn:aws:iam::123:user/deploy-bot,203.0.113.42,success
2024-01-15T02:31:49Z,U006,evt-0043,GetSecretValue,secretsmanager,arn:aws:secretsmanager:us-east-1:123:secret/api-key,203.0.113.42,success
2024-01-15T02:38:22Z,U006,evt-0044,ListSecrets,secretsmanager,arn:aws:secretsmanager:us-east-1:123,203.0.113.42,success
2024-01-15T02:45:55Z,U006,evt-0045,CreateUser,iam,arn:aws:iam::123:user/new-user,203.0.113.42,failure
2024-01-15T02:52:11Z,U006,evt-0046,AddUserToGroup,iam,arn:aws:iam::123:group/admins,203.0.113.42,failure
2024-01-15T02:58:44Z,U006,evt-0047,PutUserPolicy,iam,arn:aws:iam::123:user/deploy-bot,203.0.113.42,failure
2024-01-15T03:05:18Z,U006,evt-0048,CreateRole,iam,arn:aws:iam::123:role/new-role,203.0.113.42,failure
2024-01-15T03:11:52Z,U006,evt-0049,GetRolePolicy,iam,arn:aws:iam::123:role/existing-role,203.0.113.42,success
2024-01-15T03:18:25Z,U006,evt-0050,UpdateAccessKey,iam,arn:aws:iam::123:user/deploy-bot,203.0.113.42,success
2024-01-15T03:25:02Z,U006,evt-0051,GetSecretValue,secretsmanager,arn:aws:secretsmanager:us-east-1:123:secret/prod-cert,203.0.113.42,success
2024-01-15T03:31:39Z,U006,evt-0052,DescribeKey,kms,arn:aws:kms:us-east-1:123:key/abc-123,203.0.113.42,success
2024-01-15T03:38:16Z,U006,evt-0053,ListKeys,kms,arn:aws:kms:us-east-1:123,203.0.113.42,success
2024-01-15T03:44:52Z,U006,evt-0054,Decrypt,kms,arn:aws:kms:us-east-1:123:key/abc-123,203.0.113.42,failure
2024-01-15T03:51:28Z,U006,evt-0055,CreateGrant,kms,arn:aws:kms:us-east-1:123:key/abc-123,203.0.113.42,failure
2024-01-15T03:58:05Z,U006,evt-0056,GetSecretValue,secretsmanager,arn:aws:secretsmanager:us-east-1:123:secret/tls-cert,203.0.113.42,success
